Date,Game,StartTimeLocal,StartTimeUTC,L10_SOG,L10_G,L10_A,L10_P,L5_G,L5_A,N_games_found,Player,Team,Pos,Tier,SD_PlayerID,Shoots,Position_SD,L10_S,Injury_Source,Injury_Status_Final,SD_InjuryStatus,SD_InjuryNotes,Best_Drought_Market,Best_Drought_Count,Best_Drought_Tag,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought_Display,Play_Tag,Plays_Points,Plays_Goal,Goal_ProofCount,Goal_Why,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Tristan Broz,PIT,C,,30005030.0,L,LW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,4.6,7.2,A1+A2,690.0,92.0,23.0,0.94,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.75,0.75,,,,,,,,0.0,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,26,0,0,SOG,26,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Connor Clifton,PIT,D,,30003893.0,R,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,3,0.0,,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,13.1,7.2,A1+A2,15.86,37.5,15.9,0.94,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.22,0.22,,,,,,,,0.0,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,24,0,0,SOG,24,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,TOR@WPG,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Nicholas Robertson,TOR,L,,30004509.0,L,LW,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,0.0,,WPG,Connor Hellebuyck,0.9010416666666666,2.7256425582785417,40.9,Confirmed,dailyfaceoff_name_and_stats,75.8,69.9,A1+A2,12.36,14.3,61.5,1.05,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,2.0926654128910926,0.4923918618567276,,,0.0,50.0,50.0,50.0,50.1,70.4,50.1,4.94,2.09,,,,,,,,2.85,,,Red,Yellow,Red,Red,57,56,72,56,GOAL,72,,,,,,,,,,False,False,0,,False,2,,False,0,
2026-01-17,FLA@WSH,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Jesper Boqvist,FLA,C,,30003683.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,0.0,,WSH,Logan Thompson,0.9150537634408602,2.3597743113176235,11.3,Confirmed,dailyfaceoff_name_and_stats,50.4,35.5,A1+A2,11.11,7.5,36.6,0.95,NONE,False,False,50.0,50.0,50.1,50.1,11,2.2,False,,,,,50.0,0.8917513004706465,0.12739304292437809,,,0.0,50.0,50.0,50.0,50.1,47.1,50.1,1.61,0.79,,,,,,,,0.82,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,42,0,0,SOG,42,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Connor Dewar,PIT,C,,30004181.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,3,0.0,,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,72.8,54.8,A1+A2,13.61,19.7,55.9,1.02,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,1.570364405073485,0.48318904771491844,,,0.0,50.0,50.0,50.0,50.1,63.2,50.1,3.58,1.8,,,,,,,,1.78,,,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,55,0,0,SOG,55,,,,,,,,,,False,False,1,,False,1,,False,0,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,,,,,,,,Liam O'Brien,UTA,C,,30000593.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.922077922077922,2.2871664548919948,2.5,Unconfirmed,dailyfaceoff_name_and_stats,44.3,18.8,A1+A2,9.04,1.4,26.8,0.94,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,0.8088070096607504,0.26960233655358345,,,0.0,50.0,50.0,50.0,50.1,45.0,50.1,1.53,1.15,,,,,,,,0.38,,,Red,Red,Red,Red,24,38,52,22,GOAL,52,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,BOS@CHI,7:00 PM,2026-01-18T01:00:00Z,,,,,,,,Matj  Blmel,BOS,R,,,,,,,,,,GOAL,0,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,CHI,Arvid Soderblom,0.8725490196078431,3.8666501425207587,100.0,Likely,dailyfaceoff_name_and_stats,12.5,7.2,A1+A2,652.0,91.2,26.4,0.94,NONE,False,False,50.0,50.0,50.1,50.1,22,4.4,True,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,0.94,0.94,,,,,,,,0.0,,,Red,Red,Red,Red,35,30,47,29,GOAL,47,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,,,,,,,,Sean Durzi,UTA,D,,30004141.0,R,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.922077922077922,2.2871664548919948,2.5,Unconfirmed,dailyfaceoff_name_and_stats,45.9,63.0,A1+A2,20.55,67.6,56.2,1.02,NONE,False,False,50.0,50.0,50.1,50.1,17,3.4,True,,,,,50.0,1.252261026854042,0.2504522053708084,,,0.0,50.0,50.0,50.0,50.1,56.3,50.1,5.02,1.22,,,,,,,,3.8,,,Red,Red,Red,Red,54,44,52,49,POINTS,54,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,NYI@CGY,2:00 PM,2026-01-17T20:00:00Z,,,,,,,,Zayne Parekh,CGY,D,,30006494.0,R,D,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,NYI,David Rittich,0.9099804305283757,2.3946207794085748,19.3,Confirmed,dailyfaceoff_name_and_stats,17.2,18.8,A1+A2,885.82,97.0,33.7,0.94,NONE,False,False,50.0,50.0,50.1,50.1,10,2.0,False,,,,,50.0,0.0,0.0,,,0.0,50.0,50.0,50.0,50.1,28.1,50.1,1.38,0.52,,,,,,,,0.85,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,33,0,0,SOG,33,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,EDM@VAN,9:00 PM,2026-01-18T03:00:00Z,8.0,0.0,2.0,2.0,0.0,1.0,10.0,Zeev Buium,VAN,D,,30006486.0,L,D,8.0,SDIO,Scrambled,Scrambled,Scrambled,GOAL,10,GOAL 10,Healthy,Unknown,,,4,0.0,,EDM,Tristan Jarry,0.902834008097166,2.7947146253497435,40.3,Confirmed,dailyfaceoff_name_and_stats,43.0,78.2,A1+A2,19.25,60.6,58.9,1.03,NONE,False,False,50.0,50.0,50.1,50.1,6,1.2,False,0.5,0.625,1.2,0.745,2.3,0.5807388288433618,0.3318507593390639,,,0.0,50.0,50.0,50.0,50.1,40.2,50.1,4.04,0.67,7.45,2.04,0.67,-0.55,,,,3.38,1.38,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,33,0,0,SOG,33,0.0,0.0,10.0,2.0,,,,🥅 D:10,,False,False,1,,False,0,,False,1,
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,,,,,,,,Rutger McGroarty,PIT,R,,30005623.0,L,C,,SDIO,Scrambled,Scrambled,Scrambled,GOAL,0,,Healthy,Unknown,,,3,0.0,,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,41.9,18.8,A1+A2,12.22,12.6,27.9,0.94,NONE,False,False,50.0,50.0,50.1,50.1,12,2.4,False,,,,,50.0,0.9601706970128022,0.0,,,0.0,50.0,50.0,50.0,50.1,49.1,50.1,2.28,1.69,,,,,,,,0.59,,,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,38,0,0,SOG,38,,,,,,,,,,False,False,1,,False,0,,False,0,
