Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.013603591348115902,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.0,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Nikita Zadorov,BOS,D,Red,57.98319327731093,73.58943577430972,0.0,0.0,,72.0,89.0,59.0,1.9,1.04,11.9,WARM,WARM,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,0.03965631196298744,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Tristen Nielsen,COL,C,Red,7.563025210084033,19.08763505402161,0.0,,,33.0,43.0,21.0,1.97,0.48,7.5,WARM,COOL,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,0.0,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Brett Berard,NYR,L,Red,31.872749099639858,7.322929171668667,0.0,0.0,,23.0,62.0,41.0,1.42,1.42,8.33,WARM,WARM,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,0.023589541969726756,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Vladimir Tarasenko,MIN,R,Yellow,81.75270108043217,73.58943577430972,0.0,0.05879470847623714,,64.0,100.0,66.0,-1.17,-2.5,18.06,COOL,COOL,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,0.011498658489842852,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,0.0,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Jared Davidson,MTL,C,Red,24.729891956782712,19.08763505402161,0.0,,,31.0,59.0,35.0,1.13,1.13,9.0,WARM,WARM,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.016020139604073693,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.0,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Ilya Lyubushkin,DAL,D,Red,13.445378151260504,48.67947178871548,0.0,0.0,,49.0,43.0,21.0,0.14,-0.86,6.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.008253094910591471,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.0,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Jake Bean,CGY,D,Red,15.366146458583433,19.08763505402161,0.0,0.0,,25.0,55.0,23.0,-1.07,-0.69,10.0,COOL,COOL,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.024692139668872074,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.0,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Tomas Hertl,VGK,C,Yellow,99.03961584633853,82.47298919567827,0.0,0.08173374613003095,,75.0,100.0,93.0,0.54,2.78,26.25,COOL,HOT,HOT
Jacob Trouba,ANA,D,Red,52.40096038415366,70.88835534213686,0.0,0.018928724339184713,,67.0,100.0,51.0,0.58,-0.1,19.51,COOL,COOL,HOT
