Date,Game,Player,Team,Opp,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Line,Odds,Result
2026-01-05,PIT@BOS,Nikita Zadorov,BOS,PIT,2.5302800786411836,2.49460147613369,50.0,,,
2026-01-05,TOR@COL,Tristen Nielsen,COL,TOR,2.450794265788454,2.0631538163502516,50.0,,,
2026-01-05,SEA@NYR,Brett Berard,NYR,SEA,2.4967343515718317,2.5311952019111033,50.0,,,
2026-01-05,NJD@MIN,Vladimir Tarasenko,MIN,NJD,2.520770392749245,2.520770392749245,50.0,,,
2026-01-05,VAN@MTL,Jared Davidson,MTL,VAN,2.6961913495595695,2.4835732494258,50.0,,,
2026-01-05,DAL@LAK,Ilya Lyubushkin,DAL,LAK,2.2119651749720517,1.7683525864697314,50.0,,,
2026-01-05,CGY@PIT,Jake Bean,CGY,PIT,2.5302800786411836,2.49460147613369,50.0,,,
2026-01-05,VGK@SJS,Tomas Hertl,VGK,SJS,2.622276941631699,2.532726952938516,50.0,,,
2026-01-05,ANA@BUF,Jacob Trouba,ANA,BUF,2.446759475801308,2.173672707481142,50.0,,,
2026-01-05,DAL@LAK,Adrian Kempe,LAK,DAL,2.362511763333789,2.200648290395489,50.0,,,
2026-01-05,CAR@DET,Mark Jankowski,CAR,DET,2.521235430688774,2.4483478342440375,50.0,,,
2026-01-05,NJD@MIN,Jonas Siegenthaler,NJD,MIN,2.4001480373485893,1.915233197375421,50.0,,,
2026-01-05,PIT@BOS,Filip Hallander,PIT,BOS,2.6831982460802553,2.5411905394631944,50.0,,,
2026-01-05,CGY@PIT,Hunter Brzustewicz,CGY,PIT,2.5302800786411836,2.49460147613369,50.0,,,
2026-01-05,NJD@WPG,Nino Niederreiter,WPG,NJD,2.520770392749245,2.520770392749245,50.0,,,
2026-01-05,ANA@BUF,Frank Vatrano,ANA,BUF,2.446759475801308,2.173672707481142,50.0,,,
2026-01-05,DAL@LAK,Radek Faksa,DAL,LAK,2.2119651749720517,1.7683525864697314,50.0,,,
2026-01-05,WSH@NSH,Reid Schaefer,NSH,WSH,2.53865686440473,2.321588353365094,50.0,,,
2026-01-05,TBL@PHI,Brandon Hagel,TBL,PHI,2.201746471878492,2.0560360882340767,50.0,,,
2026-01-05,STL@VGK,Pius Suter,STL,VGK,2.1389616091318557,2.0780825704483,50.0,,,
2026-01-05,VAN@MTL,Zeev Buium,VAN,MTL,2.4095633759557717,2.1532144646869593,50.0,,,
2026-01-05,NYI@MIN,Maxim Tsyplakov,NYI,MIN,2.4001480373485893,1.915233197375421,50.0,,,
2026-01-05,PIT@BOS,Tommy Novak,PIT,BOS,2.6831982460802553,2.5411905394631944,50.0,,,
2026-01-05,EDM@CHI,Wyatt Kaiser,CHI,EDM,2.5059895114545956,2.384764007728402,50.0,,,
2026-01-05,CAR@DET,Michael Brandsegg-Nygrd,DET,CAR,2.2553745616067364,1.9556933204445048,50.0,,,
2026-01-05,NJD@MIN,Xavier Parent,NJD,MIN,2.4001480373485893,1.915233197375421,50.0,,,
2026-01-05,DAL@LAK,Mikko Rantanen,DAL,LAK,2.2119651749720517,1.7683525864697314,50.0,,,
2026-01-05,CBJ@UTA,John Marino,UTA,CBJ,2.5829752867065094,2.5004038119851395,50.0,,,
