Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-05,ANA@WSH,Tom Wilson,WSH,R,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,98.3,91.4,1162.68,81.4,92.5,1.051,3.5,2.875,2.6,3.1849999999999996,92.1,10.0,5.0,29.0,5.0,3.0,2.622154779969651,,,2.566977363515313,2.1870838881491346,50.0,72.0,75.0,72.0,9.58,4.45,31.85,-0.42,-0.55,2.85,COOL,COOL,HOT,Green,Green,Yellow,77,94,95,GOAL,95,,,,,False
2026-01-05,ANA@WSH,Jakob Chychrun,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.4,85.1,1398.64,96.0,89.7,1.048,3.5,3.375,3.2,3.3949999999999996,94.1,5.0,3.0,36.0,1.0,2.0,1.5908756128869341,,,2.566977363515313,2.1870838881491346,50.0,72.0,63.3,72.0,7.01,3.01,33.95,2.01,0.01,-2.05,HOT,COOL,COOL,Green,Green,Green,78,91,76,SOG,91,,,,🔥 HOT POINTS,True
2026-01-05,ANA@WSH,Alex Ovechkin,WSH,L,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,97.6,89.9,1070.0,71.3,89.6,1.048,2.5,2.75,3.0,2.675,79.7,3.0,1.0,27.0,1.0,2.0,2.4489038681549737,,,2.566977363515313,2.1870838881491346,50.0,72.0,73.2,72.0,8.9,4.16,26.75,5.9,3.16,-0.25,HOT,HOT,COOL,Green,Red,Yellow,87,89,79,SOG,89,,,,🔥 HOT POINTS,True
2026-01-05,DET@OTT,Tim Sttzle,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,95.8,95.3,1239.88,88.7,94.2,1.053,3.0,2.75,2.4,2.79,83.2,15.0,5.0,29.0,2.0,3.0,2.4220441116246416,,,2.521235430688774,2.4483478342440375,50.0,73.6,73.0,73.6,10.34,4.02,27.9,-4.66,-0.98,-1.1,COOL,COOL,COOL,Green,Yellow,Yellow,78,88,81,SOG,88,,,,,False
2026-01-05,ANA@WSH,Troy Terry,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.0,97.1,1122.2,76.5,90.7,1.049,2.5,2.375,2.4,2.465,75.7,6.0,4.0,25.0,3.0,1.0,2.4032771961766044,,,2.53865686440473,2.321588353365094,50.0,74.6,72.6,74.6,9.97,3.31,24.65,3.97,-0.69,-0.35,HOT,COOL,COOL,Green,Red,Yellow,87,78,76,POINTS,87,,,,🔥 HOT POINTS,True
2026-01-05,ANA@WSH,Aliaksei Protas,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.6,82.5,1087.22,72.9,84.2,1.041,2.0,2.125,2.6,2.21,66.8,11.0,6.0,23.0,4.0,5.0,2.2643986216704044,,,2.566977363515313,2.1870838881491346,50.0,72.0,71.4,72.0,6.89,3.08,22.1,-4.11,-2.92,-0.9,COOL,COOL,COOL,Green,Red,Yellow,71,82,86,GOAL,86,,,,,False
2026-01-05,DET@OTT,Brady Tkachuk,OTT,L,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,86.3,76.5,1061.8,68.0,79.2,1.035,4.0,4.125,3.4,3.79,99.0,10.0,5.0,45.0,0.0,3.0,2.5210084033613445,,,2.521235430688774,2.4483478342440375,50.0,73.6,74.0,73.6,12.03,5.3,37.9,2.03,0.3,-7.1,HOT,COOL,COOL,Yellow,Green,Green,73,86,67,SOG,86,,,,,False
2026-01-05,ANA@WSH,Leo Carlsson,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,89.6,96.3,1174.0,81.8,90.4,1.048,3.0,2.125,2.6,2.8600000000000003,85.1,4.0,1.0,21.0,0.0,1.0,1.8277932084938626,,,2.53865686440473,2.321588353365094,50.0,74.6,67.7,74.6,9.57,3.02,28.6,5.57,2.02,7.6,HOT,HOT,HOT,Green,Yellow,Yellow,86,80,64,POINTS,86,,,,🔥 HOT POINTS,True
2026-01-05,DET@OTT,Alex DeBrincat,DET,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,99.5,91.4,1079.77,71.7,91.1,1.049,3.0,3.25,2.2,2.72,81.2,5.0,4.0,34.0,2.0,0.0,2.3370685032035903,,,2.03697721571188,1.5773737929138458,50.0,13.9,71.6,13.9,9.7,4.82,27.2,4.7,0.82,-6.8,HOT,COOL,COOL,Green,Yellow,Yellow,82,85,78,SOG,85,,,,🔥 HOT POINTS,True
2026-01-05,UTA@NYR,Artemi Panarin,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,90.0,97.6,1246.05,89.9,92.7,1.051,4.5,4.625,3.4,4.115,100.0,12.0,6.0,46.0,3.0,5.0,2.2457352623623406,,,2.3006725398557215,1.9052581869107135,50.0,30.4,71.2,30.4,9.93,2.92,41.15,-2.07,-3.08,-4.85,COOL,COOL,COOL,Green,Green,Green,74,85,76,SOG,85,,,,,False
2026-01-05,ANA@WSH,John Carlson,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,70.1,92.7,1358.26,95.1,83.0,1.04,1.0,1.375,1.6,1.21,24.8,5.0,2.0,16.0,0.0,0.0,1.7359622803257608,,,2.566977363515313,2.1870838881491346,50.0,72.0,65.7,72.0,7.52,1.77,12.1,2.52,-0.23,-3.9,HOT,COOL,COOL,Green,Red,Red,84,62,60,POINTS,84,,,,🔥 HOT POINTS,True
