Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-06,NSH@EDM,,,Connor McDavid,EDM,C,NSH,Juuse Saros,0.8961187214611872,2.933880226757776,53.5,100.0,100.0,1362.21,96.0,99.2,1.059,6.0,5.25,5.8,5.93,100.0,21.0,7.0,52.0,2.0,8.0,2.409749792262949,,,2.460318262187421,2.4248547613033593,50.0,51.3,72.4,51.3,17.93,6.08,59.3,-3.07,-0.92,7.3,COOL,COOL,HOT,Green,Green,Green,78,93,81,SOG,93,,,,,False
2026-01-06,FLA@TOR,,,Auston Matthews,TOR,C,FLA,Sergei Bobrovsky,0.8852941176470588,2.8423929547525053,65.8,98.3,76.5,1250.06,88.3,88.7,1.046,3.5,3.75,5.6,4.234999999999999,99.0,12.0,7.0,40.0,6.0,4.0,2.30684730867814,,,2.4078763760401056,2.2016641686908884,50.0,37.2,71.5,37.2,9.09,5.21,42.35,-2.91,-1.79,2.35,COOL,COOL,HOT,Yellow,Green,Yellow,65,92,91,SOG,92,,,,,False
2026-01-06,CBJ@SJS,,,Kirill Marchenko,CBJ,R,SJS,Alex Nedeljkovic,0.8900414937759336,3.1353216662558543,67.5,92.6,88.1,1136.84,76.2,87.7,1.045,3.0,3.125,4.2,3.42,95.4,7.0,5.0,31.0,4.0,2.0,2.15414073719483,,,2.622276941631699,2.532726952938516,50.0,75.8,70.3,75.8,8.88,3.79,34.2,1.88,-1.21,3.2,WARM,COOL,HOT,Green,Yellow,Yellow,79,91,87,SOG,91,,,,,False
2026-01-06,CBJ@SJS,,,Adam Fantilli,CBJ,C,SJS,Alex Nedeljkovic,0.8900414937759336,3.1353216662558543,67.5,94.8,79.5,1118.63,73.7,85.2,1.042,3.0,2.875,3.6,3.21,91.8,5.0,1.0,32.0,0.0,3.0,1.6214927271282091,,,2.622276941631699,2.532726952938516,50.0,75.8,62.9,75.8,7.32,3.76,32.1,2.32,2.76,0.1,HOT,HOT,COOL,Yellow,Yellow,Yellow,74,91,74,SOG,91,,,,,False
2026-01-06,VAN@BUF,,,Tage Thompson,BUF,C,VAN,Thatcher Demko,0.9040816326530612,2.7193391298757654,36.5,97.5,86.6,1133.53,75.2,89.2,1.047,4.0,3.5,4.0,4.0,97.6,11.0,6.0,35.0,2.0,3.0,2.272075276837455,,,2.6961913495595695,2.4835732494258,50.0,75.6,71.2,75.6,8.82,4.37,40.0,-2.18,-1.63,5.0,COOL,COOL,HOT,Green,Green,Green,71,90,79,SOG,90,,,,,False
2026-01-06,NJD@NYI,,,Bo Horvat,NYI,C,NJD,Jacob Markstrom,0.8884892086330936,3.1966543975480857,71.4,94.0,73.4,1230.28,86.0,85.2,1.042,3.0,3.0,2.6,2.8600000000000003,85.1,7.0,6.0,31.0,2.0,0.0,2.013493200964799,,,2.520770392749245,2.520770392749245,50.0,63.3,69.1,63.3,7.59,4.12,28.6,0.59,-1.88,-2.4,COOL,COOL,COOL,Yellow,Yellow,Yellow,67,89,80,SOG,89,,,,,False
2026-01-06,NSH@EDM,,,Leon Draisaitl,EDM,C,NSH,Juuse Saros,0.8961187214611872,2.933880226757776,53.5,94.4,99.4,1318.86,93.7,96.0,1.055,3.5,3.25,3.2,3.3949999999999996,94.5,14.0,3.0,35.0,3.0,2.0,2.145666944808678,,,2.460318262187421,2.4248547613033593,50.0,51.3,70.1,51.3,12.95,3.66,33.95,-1.05,0.66,-1.05,COOL,COOL,COOL,Green,Green,Yellow,78,89,81,SOG,89,,,,,False
2026-01-06,VGK@WPG,,,Kyle Connor,WPG,L,VGK,Carter Hart,0.875968992248062,3.2757983336650836,85.3,93.8,97.9,1257.3,89.2,94.3,1.053,3.0,3.25,4.0,3.35,93.5,10.0,4.0,36.0,2.0,3.0,2.9756032528996132,,,2.1389616091318557,2.0780825704483,50.0,16.7,74.4,16.7,11.32,3.68,33.5,1.32,-0.32,-2.5,WARM,COOL,COOL,Green,Yellow,Yellow,80,88,77,SOG,88,,,,,False
2026-01-06,NSH@EDM,,,Zach Hyman,EDM,L,NSH,Juuse Saros,0.8961187214611872,2.933880226757776,53.5,93.8,66.8,1202.17,83.1,82.2,1.039,3.5,3.5,4.2,3.745,96.9,12.0,6.0,35.0,3.0,3.0,1.8657243816254416,,,2.460318262187421,2.4248547613033593,50.0,51.3,66.6,51.3,10.84,6.32,37.45,-1.16,0.32,2.45,COOL,COOL,HOT,Red,Green,Yellow,59,88,80,SOG,88,,,,,False
2026-01-06,CBJ@SJS,,,Macklin Celebrini,SJS,C,CBJ,Jet Greaves,0.9100850546780073,2.639557695737471,26.0,95.4,99.8,1237.51,86.5,95.2,1.054,5.5,4.875,4.0,4.975,99.5,20.0,7.0,48.0,4.0,5.0,3.2438277167057126,,,2.5829752867065094,2.5004038119851395,50.0,66.2,74.7,66.2,14.41,3.87,49.75,-5.59,-3.13,1.75,COOL,COOL,WARM,Green,Green,Green,78,88,83,SOG,88,,,,,False
