Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Kevin Fiala,LAK,L,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.88,3.492552645095018,91.4,Confirmed,dailyfaceoff_name_and_stats,93.3,81.3,1143.79,81.5,86.8,1.044,STAR,False,True,26.589604707667718,2.332329698182963,59.3,59.3,3.0,2.5,3.4,3.14,94.9,9.0,5.0,24.0,3.0,4.0,4.0,1.5333422068414748,0.3833355517103687,,,0.0,2.6064591553412244,2.922694724536022,50.0,77.1,62.4,77.1,7.32,3.59,31.4,-1.68,-1.41,7.4,COOL,COOL,HOT,3.73,-0.27,COOL,Yellow,Yellow,Red,Yellow,64,100,87,67,SOG,100,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Adrian Kempe,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.88,3.492552645095018,91.4,Confirmed,dailyfaceoff_name_and_stats,91.8,88.8,1152.76,82.8,88.9,1.047,STAR,False,True,26.589604707667718,2.332329698182963,59.3,59.3,2.0,2.5,3.4,2.49,83.9,6.0,4.0,26.0,2.0,1.0,2.0,1.7730593482365173,0.7880263769940077,,,0.0,2.6064591553412244,2.922694724536022,50.0,77.1,65.1,77.1,8.08,3.34,24.9,2.08,-0.66,-1.1,HOT,COOL,COOL,4.74,2.74,HOT,Yellow,Red,Red,Yellow,75,98,83,87,SOG,98,,,,,False,False,2,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Tom Wilson,WSH,R,GTD,Unknown,,,1,-1.0,🟡 GTD,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,97.6,90.4,1162.68,84.8,92.5,1.051,ELITE,True,True,27.83640653943414,2.6350506906066733,92.1,74.8,3.5,2.875,2.6,3.1849999999999996,96.6,10.0,5.0,29.0,5.0,3.0,5.0,2.622154779969651,0.5462822458270106,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,74.0,72.6,9.58,4.45,31.85,-0.42,-0.55,2.85,COOL,COOL,HOT,5.13,0.13,COOL,Green,Green,Yellow,Green,68,98,89,75,SOG,98,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,xGF,VOL"
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Quinton Byfield,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.88,3.492552645095018,91.4,Confirmed,dailyfaceoff_name_and_stats,88.5,87.0,1203.37,86.1,87.5,1.045,STAR,False,True,26.589604707667718,2.332329698182963,59.3,59.3,2.5,2.25,1.8,2.255,76.3,5.0,2.0,22.0,1.0,2.0,3.0,0.9138859899021239,0.5077144388345133,,,0.0,2.6064591553412244,2.922694724536022,50.0,77.1,46.5,77.1,7.57,2.98,22.55,2.57,0.98,0.55,HOT,COOL,COOL,4.59,1.59,WARM,Yellow,Red,Red,Yellow,74,97,77,74,SOG,97,,,,,False,False,1,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Alex Laferriere,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.88,3.492552645095018,91.4,Confirmed,dailyfaceoff_name_and_stats,83.5,65.4,1010.86,64.9,73.5,1.028,NONE,False,False,26.589604707667718,2.332329698182963,59.3,59.3,3.0,3.0,2.4,2.79,89.0,7.0,4.0,34.0,1.0,2.0,3.0,1.8287763334827432,0.2151501568803227,,,0.0,2.6064591553412244,2.922694724536022,50.0,77.1,66.1,77.1,4.83,2.39,27.9,-2.17,-1.61,-6.1,COOL,COOL,COOL,2.45,-0.55,COOL,Red,Yellow,Red,Red,55,94,73,59,SOG,94,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Dylan Guenther,UTA,R,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,94.3,83.9,1033.55,66.9,85.2,1.042,STAR,False,True,27.399304988688574,2.663246029339739,75.2,91.7,3.5,3.625,3.8,3.6049999999999995,100.0,10.0,6.0,35.0,5.0,2.0,4.0,2.463039533569325,0.9637980783532142,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,73.0,57.2,7.34,3.55,36.05,-2.66,-2.45,1.05,COOL,COOL,WARM,3.79,-0.21,COOL,Yellow,Green,Yellow,Yellow,61,94,87,73,SOG,94,,,,,False,False,3,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Jakob Chychrun,WSH,D,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,90.5,85.5,1398.84,98.7,90.4,1.048,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,3.5,3.375,2.8,3.255,98.3,4.0,1.0,36.0,0.0,2.0,3.0,1.5178284612913588,0.578220366206232,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,62.1,72.6,7.01,2.96,32.55,3.01,1.96,-3.45,HOT,WARM,COOL,4.05,1.05,WARM,Yellow,Green,Yellow,Yellow,72,94,73,75,SOG,94,,,,,False,False,2,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Clayton Keller,UTA,R,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,93.9,95.7,1160.45,84.1,92.6,1.051,STAR,False,True,27.399304988688574,2.663246029339739,75.2,91.7,2.5,2.625,2.2,2.395,81.4,10.0,3.0,27.0,1.0,5.0,7.0,1.635909217136654,0.7270707631718462,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,63.1,57.2,9.5,3.53,23.95,-0.5,0.53,-3.05,COOL,COOL,COOL,5.97,-1.03,COOL,Green,Red,Red,Green,67,92,76,76,SOG,92,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,xGF,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Alex Ovechkin,WSH,L,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,98.0,88.8,1070.95,70.2,89.2,1.047,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,2.5,2.875,3.2,2.745,86.4,6.0,4.0,29.0,3.0,1.0,2.0,2.425591750644481,1.0546051089758612,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,72.7,72.6,8.76,4.24,27.45,2.76,0.24,-1.55,HOT,COOL,COOL,4.52,2.52,HOT,Green,Red,Red,Yellow,72,92,81,87,SOG,92,,,,🔥 HOT POINTS,True,False,3,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Tyler Bertuzzi,CHI,L,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,97.3,72.1,1095.3,73.5,83.7,1.04,STAR,False,True,24.4073515742773,2.2520562068938585,26.8,25.5,2.5,2.625,3.8,2.955,93.2,8.0,6.0,28.0,3.0,2.0,2.0,1.8219135715691512,0.30365226192819184,,,0.0,2.572238918395425,2.4073234283606064,50.0,53.0,65.7,53.0,7.54,4.42,29.55,-0.46,-1.58,1.55,COOL,COOL,WARM,3.12,1.12,WARM,Yellow,Red,Red,Yellow,52,89,77,61,SOG,89,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Nick Schmaltz,UTA,C,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,90.0,93.2,1179.02,85.4,90.2,1.048,STAR,False,True,27.399304988688574,2.663246029339739,75.2,91.7,2.0,2.25,3.4,2.49,83.9,7.0,2.0,24.0,2.0,3.0,5.0,2.2895301693298356,0.9539709038874314,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,71.4,57.2,8.4,2.92,24.9,1.4,0.92,0.9,WARM,COOL,COOL,5.48,0.48,COOL,Green,Red,Red,Green,71,88,77,77,SOG,88,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Connor Bedard,CHI,C,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,91.2,95.7,1263.48,92.1,92.9,1.052,STAR,False,True,24.4073515742773,2.2520562068938585,26.8,25.5,3.0,3.125,2.4,2.79,89.0,13.0,6.0,32.0,2.0,4.0,7.0,2.9618378583633946,1.139168407062844,,,0.0,2.572238918395425,2.4073234283606064,50.0,53.0,74.3,53.0,12.89,4.4,27.9,-0.11,-1.6,-4.1,COOL,COOL,COOL,8.48,1.48,WARM,Green,Yellow,Red,Green,67,86,71,76,SOG,86,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Aliaksei Protas,WSH,C,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,89.6,81.3,1087.22,72.2,83.2,1.04,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,2.0,2.125,2.6,2.21,74.6,11.0,6.0,23.0,4.0,5.0,5.0,2.2643986216704044,0.6891647978996882,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,71.0,72.6,6.88,3.07,22.1,-4.12,-2.93,-0.9,COOL,COOL,COOL,3.8,-1.2,COOL,Yellow,Red,Red,Yellow,60,85,80,69,SOG,85,,,,,False,False,3,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,John Carlson,WSH,D,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,71.5,93.2,1361.28,96.0,84.0,1.041,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,1.0,1.25,1.8,1.28,28.8,5.0,2.0,15.0,1.0,2.0,3.0,1.7284512167386854,0.5458267000227428,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,64.4,72.6,7.83,1.84,12.8,2.83,-0.16,-2.2,HOT,COOL,COOL,5.99,2.99,HOT,Green,Red,Red,Green,76,65,59,85,ASSISTS,85,,,,🔥 HOT POINTS | 🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,True,True,3,"iXA,v2,xGF,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Connor McMichael,WSH,C,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,86.3,90.4,1027.11,66.2,83.7,1.04,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,2.0,1.75,2.2,2.0700000000000003,70.3,7.0,0.0,18.0,0.0,6.0,7.0,2.2909374909606317,1.3537357901131006,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,71.7,72.6,7.27,2.54,20.7,0.27,2.54,2.7,COOL,HOT,HOT,4.73,-2.27,COOL,Green,Red,Red,Green,65,82,69,73,SOG,82,,,,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,xGF,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Dylan Strome,WSH,C,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,83.1,93.2,1101.76,74.2,84.9,1.042,STAR,False,True,27.83640653943414,2.6350506906066733,92.1,74.8,2.0,2.5,2.2,2.0700000000000003,70.3,10.0,4.0,24.0,2.0,0.0,6.0,1.993631455074069,0.6977710092759242,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,69.4,72.6,8.1,2.39,20.7,-1.9,-1.61,-3.3,COOL,COOL,COOL,5.71,-0.29,COOL,Green,Red,Red,Green,68,81,69,81,ASSISTS,81,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL"
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Kyle Connor,WPG,L,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,93.2,97.9,1257.38,90.7,94.4,1.053,ELITE,True,True,24.63831652783867,2.2265088411515417,43.4,8.9,3.0,3.25,2.8,2.93,91.5,10.0,6.0,37.0,3.0,3.0,4.0,3.0990480048612516,1.1849301195057726,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,74.7,17.2,11.14,3.62,29.3,1.14,-2.38,-7.7,WARM,COOL,COOL,7.52,3.52,HOT,Green,Yellow,Red,Green,68,81,73,76,SOG,81,,,,🅰️ ASSISTS EARNED | 🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,John Marino,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,46.3,83.9,1224.84,88.7,68.0,1.022,NONE,False,False,27.399304988688574,2.663246029339739,75.2,91.7,0.5,0.5,0.6,0.535,5.1,2.0,1.0,5.0,1.0,1.0,1.0,1.2246460007654036,0.3827018752391887,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,56.1,57.2,4.45,0.73,5.35,2.45,-0.27,0.35,HOT,COOL,COOL,3.72,2.72,HOT,Yellow,Red,Red,Yellow,68,53,45,79,ASSISTS,79,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Anthony Beauvillier,WSH,L,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,85.9,46.9,939.09,57.0,66.5,1.02,NONE,False,False,27.83640653943414,2.6350506906066733,92.1,74.8,2.0,1.875,2.0,2.0,65.3,3.0,2.0,20.0,1.0,1.0,1.0,1.171875,0.09765625,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,54.8,72.6,3.86,2.47,20.0,0.86,0.47,0.0,COOL,COOL,COOL,1.39,0.39,COOL,Red,Red,Red,Red,42,79,68,50,SOG,79,,,,,False,False,1,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Gabriel Vilardi,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,94.1,90.4,1133.45,78.8,89.7,1.048,STAR,False,True,24.63831652783867,2.2265088411515417,43.4,8.9,2.0,1.625,1.2,1.72,50.8,7.0,1.0,16.0,1.0,3.0,6.0,2.3820236614350367,0.6669666252018104,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,72.0,17.2,8.69,3.7,17.2,1.69,2.7,1.2,WARM,HOT,WARM,4.99,-1.01,COOL,Green,Red,Red,Yellow,64,77,68,62,SOG,77,,,,,False,False,2,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Mark Scheifele,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,94.9,97.9,1250.0,90.1,95.0,1.054,ELITE,True,True,24.63831652783867,2.2265088411515417,43.4,8.9,1.5,1.75,2.4,1.815,52.5,10.0,4.0,22.0,2.0,3.0,6.0,3.1585104308832133,1.2283096120101384,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,75.0,17.2,11.31,3.78,18.15,1.31,-0.22,-3.85,WARM,COOL,COOL,7.53,1.53,WARM,Green,Red,Red,Green,68,76,77,72,GOAL,77,,,,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Andrei Kuzmenko,LAK,L,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.88,3.492552645095018,91.4,Confirmed,dailyfaceoff_name_and_stats,71.1,52.6,883.19,47.7,59.9,1.012,NONE,False,False,26.589604707667718,2.332329698182963,59.3,59.3,1.0,1.375,1.4,1.14,22.9,7.0,4.0,14.0,2.0,2.0,3.0,1.138970181127897,0.14237127264098712,,,0.0,2.6064591553412244,2.922694724536022,50.0,77.1,53.5,77.1,3.83,1.91,11.4,-3.17,-2.09,-2.6,COOL,COOL,COOL,1.91,-1.09,COOL,Red,Red,Red,Red,46,76,68,50,SOG,76,,,,,False,False,0,
