Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Kevin Fiala,LAK,L,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,93.7,81.3,A1+A2,1145.81,82.2,87.1,1.044,STAR,False,True,26.544824326453444,2.375705057507484,59.5,59.5,3.0,2.5,3.4,3.14,95.0,9.0,5.0,24.0,3.0,4.0,4.0,1.4956377233070213,0.3739094308267553,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,62.5,77.1,7.2,3.55,31.4,-1.8,-1.45,7.4,COOL,COOL,HOT,3.64,-0.36,COOL,Yellow,Yellow,Red,Yellow,64,100,86,68,SOG,100,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Tom Wilson,WSH,R,GTD,Unknown,,,1,-1.0,🟡 GTD,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,97.5,90.3,A1+A2,1162.68,84.9,92.4,1.051,ELITE,True,True,27.749159629108792,2.6308910563480903,92.1,75.0,3.5,2.875,2.6,3.1849999999999996,96.7,10.0,5.0,29.0,5.0,3.0,5.0,2.622154779969651,0.5462822458270106,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,73.7,72.7,9.58,4.45,31.85,-0.42,-0.55,2.85,COOL,COOL,HOT,5.13,0.13,COOL,Green,Green,Yellow,Green,69,100,92,75,SOG,100,,,,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,xGF,VOL"
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Adrian Kempe,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,92.3,88.8,A1+A2,1153.6,82.9,89.2,1.047,STAR,False,True,26.544824326453444,2.375705057507484,59.5,59.5,2.0,2.5,3.4,2.49,84.2,6.0,4.0,26.0,2.0,1.0,2.0,1.7300760913095714,0.7689227072486985,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,64.5,77.1,7.95,3.32,24.9,1.95,-0.68,-1.1,WARM,COOL,COOL,4.63,2.63,HOT,Yellow,Red,Red,Yellow,74,98,82,86,SOG,98,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Jakob Chychrun,WSH,D,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,90.5,85.4,A1+A2,1394.53,98.0,90.2,1.048,STAR,False,True,27.749159629108792,2.6308910563480903,92.1,75.0,3.5,3.375,2.8,3.255,98.3,4.0,1.0,36.0,0.0,2.0,3.0,1.4864041210357641,0.5662491889660054,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,62.2,72.7,6.87,2.91,32.55,2.87,1.91,-3.45,HOT,WARM,COOL,3.96,0.96,COOL,Yellow,Green,Yellow,Yellow,73,97,76,75,SOG,97,,,,,False,False,2,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Quinton Byfield,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,89.1,87.0,A1+A2,1203.79,86.8,87.9,1.045,STAR,False,True,26.544824326453444,2.375705057507484,59.5,59.5,2.5,2.25,1.8,2.255,76.7,5.0,2.0,22.0,1.0,2.0,3.0,0.9921181722978559,0.49605908614892796,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,49.7,77.1,7.46,2.98,22.55,2.46,0.98,0.55,HOT,COOL,COOL,4.48,1.48,WARM,Yellow,Red,Red,Yellow,73,96,76,74,SOG,96,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Alex Ovechkin,WSH,L,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,98.0,88.8,A1+A2,1066.78,69.7,89.1,1.047,STAR,False,True,27.749159629108792,2.6308910563480903,92.1,75.0,2.5,2.875,3.2,2.745,86.7,6.0,4.0,29.0,3.0,1.0,2.0,2.4842577417407057,1.0351073923919607,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,73.0,72.7,8.62,4.19,27.45,2.62,0.19,-1.55,HOT,COOL,COOL,4.42,2.42,HOT,Green,Red,Red,Yellow,73,95,84,87,SOG,95,,,,🔥 HOT POINTS,True,False,3,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Dylan Guenther,UTA,R,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,94.3,83.9,A1+A2,1033.55,67.1,85.2,1.042,STAR,False,True,27.399304988688574,2.663246029339739,75.3,91.8,3.5,3.625,3.8,3.6049999999999995,100.0,10.0,6.0,35.0,5.0,2.0,4.0,2.463039533569325,0.9637980783532142,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,72.7,57.1,7.34,3.55,36.05,-2.66,-2.45,1.05,COOL,COOL,WARM,3.79,-0.21,COOL,Yellow,Green,Yellow,Yellow,61,94,87,73,SOG,94,,,,,False,False,3,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Alex Laferriere,LAK,R,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,83.9,65.4,A1+A2,1008.77,65.1,73.6,1.028,NONE,False,False,26.544824326453444,2.375705057507484,59.5,59.5,3.0,3.0,2.4,2.79,89.2,7.0,4.0,34.0,1.0,2.0,3.0,1.7886368950198737,0.2104278700023381,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,65.8,77.1,4.76,2.37,27.9,-2.24,-1.63,-6.1,COOL,COOL,COOL,2.39,-0.61,COOL,Red,Yellow,Red,Red,54,93,72,59,SOG,93,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Clayton Keller,UTA,R,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,94.0,95.6,A1+A2,1160.45,84.2,92.6,1.051,STAR,False,True,27.399304988688574,2.663246029339739,75.3,91.8,2.5,2.625,2.2,2.395,81.7,10.0,3.0,27.0,1.0,5.0,7.0,1.635909217136654,0.7270707631718462,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,62.8,57.1,9.5,3.53,23.95,-0.5,0.53,-3.05,COOL,COOL,COOL,5.97,-1.03,COOL,Green,Red,Red,Green,67,92,76,76,SOG,92,,,,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,xGF,VOL"
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Tyler Bertuzzi,CHI,L,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.9157175398633257,2.3519648264719644,10.2,Confirmed,dailyfaceoff_name_and_stats,98.1,72.1,A1+A2,1091.73,73.0,84.0,1.041,STAR,False,True,24.311502585923712,2.2438636832415337,27.0,25.7,2.5,2.625,3.8,2.955,93.3,8.0,6.0,28.0,3.0,2.0,2.0,1.7880301316188847,0.29800502193648076,,,0.0,2.5572542620152356,2.409439226332373,50.0,53.0,65.5,53.0,7.68,4.64,29.55,-0.32,-1.36,1.55,COOL,COOL,WARM,3.05,1.05,WARM,Yellow,Red,Red,Yellow,52,89,77,60,SOG,89,,,,,False,False,1,
