Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Brock Nelson,COL,C,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8772727272727273,4.035204251079375,100.0,Confirmed,dailyfaceoff_name_and_stats,93.1,83.8,A1+A2,1136.79,77.7,86.8,1.044,NONE,False,False,33.03253858511905,3.1139210154020764,98.4,98.4,2.5,2.75,3.6,2.885,85.0,15.0,8.0,30.0,6.0,3.0,7.0,2.3661199062696463,0.20574955706692577,,,0.0,2.5956452322002916,2.5545502927088877,50.0,76.3,72.3,76.3,7.37,3.49,28.85,-7.63,-4.51,-1.15,COOL,COOL,COOL,3.88,-3.12,COOL,Yellow,Red,Red,Yellow,69,100,97,75,SOG,100,0.0,0.0,0.0,1.0,,,,🎯 D:1,,False,False,2,
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Martin Necas,COL,C,⭐ STAR,Healthy,Unknown,,,5,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8772727272727273,4.035204251079375,100.0,Confirmed,dailyfaceoff_name_and_stats,91.8,99.0,A1+A2,1237.6,87.2,93.4,1.052,STAR,False,True,33.03253858511905,3.1139210154020764,98.4,98.4,3.0,2.75,2.0,2.6500000000000004,77.5,10.0,6.0,27.0,1.0,4.0,4.0,3.3648997663264053,1.328249907760423,,,0.0,2.5956452322002916,2.5545502927088877,50.0,76.3,74.9,76.3,11.86,3.3,26.5,1.86,-2.7,-0.5,WARM,COOL,COOL,8.56,4.56,HOT,Green,Yellow,Red,Green,83,100,82,94,SOG,100,0.0,0.0,0.0,1.0,,,,🎯 D:1,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL"
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Nathan MacKinnon,COL,C,👑 ELITE,Healthy,Unknown,,,5,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8772727272727273,4.035204251079375,100.0,Confirmed,dailyfaceoff_name_and_stats,99.9,99.7,A1+A2,1309.21,92.5,98.4,1.058,ELITE,True,False,33.03253858511905,3.1139210154020764,98.4,98.4,4.5,3.875,4.8,4.605,99.1,20.0,8.0,41.0,4.0,8.0,12.0,3.7516875488500983,1.0231875133227541,,,0.0,2.5956452322002916,2.5545502927088877,50.0,76.3,75.0,76.3,15.8,5.46,46.05,-4.2,-2.54,5.05,COOL,COOL,HOT,10.33,-1.67,COOL,Green,Green,Green,Green,78,100,98,84,SOG,100,0.0,0.0,0.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL"
2026-01-10,DAL@SJS,3:00 PM,2026-01-10T21:00:00Z,Wyatt Johnston,DAL,C,👑 ELITE,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SJS,Yaroslav Askarov,0.8935128518971848,3.4394526745807754,71.3,Unconfirmed,dailyfaceoff_name_and_stats,98.5,96.4,A1+A2,1209.02,85.5,95.2,1.054,ELITE,True,False,23.299271417932793,2.3133440304637896,5.3,38.3,2.5,2.375,2.6,2.535,72.7,11.0,7.0,24.0,4.0,1.0,4.0,1.9774293418555877,0.8089483671227404,,,0.0,2.6669010314714647,2.646191705083852,50.0,84.6,68.7,84.6,10.75,4.53,25.35,-0.25,-2.47,1.35,COOL,COOL,COOL,6.23,2.23,WARM,Green,Red,Red,Green,75,100,94,91,SOG,100,0.0,3.0,0.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-10,DAL@SJS,3:00 PM,2026-01-10T21:00:00Z,Jason Robertson,DAL,L,👑 ELITE,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SJS,Yaroslav Askarov,0.8935128518971848,3.4394526745807754,71.3,Unconfirmed,dailyfaceoff_name_and_stats,99.8,97.0,A1+A2,1189.89,83.3,95.5,1.055,ELITE,True,False,23.299271417932793,2.3133440304637896,5.3,38.3,2.5,3.125,3.2,2.745,80.2,12.0,5.0,34.0,2.0,5.0,7.0,2.253041606168327,0.7209733139738648,,,0.0,2.6669010314714647,2.646191705083852,50.0,84.6,71.3,84.6,11.56,5.09,27.45,-0.44,0.09,-6.55,COOL,COOL,COOL,6.47,-0.53,COOL,Green,Red,Red,Green,77,100,88,77,SOG,100,1.0,1.0,1.0,3.0,,,,🎯 D:3,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-10,VAN@TOR,6:00 PM,2026-01-11T00:00:00Z,Auston Matthews,TOR,C,⭐ STAR,Healthy,Unknown,,,4,1.0,🟢 ROLE+,VAN,Thatcher Demko,0.899803536345776,2.7923105000608346,44.4,Confirmed,dailyfaceoff_name_and_stats,98.2,75.2,A1+A2,1245.51,88.1,88.1,1.046,STAR,False,True,25.058712106628885,2.3085061330089087,38.1,34.9,4.0,4.125,4.6,4.21,98.6,11.0,7.0,44.0,6.0,2.0,4.0,2.2859781792991978,0.5195404952952721,,,0.0,2.6736109444377774,2.4768990759630385,50.0,76.0,71.5,76.0,8.89,5.21,42.1,-2.11,-1.79,-1.9,COOL,COOL,COOL,3.68,-0.32,COOL,Yellow,Green,Green,Yellow,62,100,94,68,SOG,100,1.0,3.0,1.0,0.0,,,,🎯 D:0,,False,False,2,
2026-01-10,NYI@MIN,7:00 PM,2026-01-11T01:00:00Z,Kirill Kaprizov,MIN,L,👑 ELITE,Healthy,Unknown,,,0,0.0,,NYI,Ilya Sorokin,0.9152777777777777,2.4456249373559187,13.4,Likely,dailyfaceoff_name_and_stats,99.4,97.0,A1+A2,1338.78,94.4,97.6,1.057,ELITE,True,False,25.957076993327345,2.398444519730737,45.7,48.4,4.0,4.25,4.0,4.0,98.0,10.0,2.0,43.0,1.0,3.0,8.0,1.7827154114455497,0.697584291435215,,,0.0,2.637052473510416,2.840878619093953,50.0,82.6,66.2,82.6,11.22,4.87,40.0,1.22,2.87,-3.0,COOL,HOT,COOL,6.34,-1.66,COOL,Green,Green,Yellow,Green,73,99,82,76,SOG,99,0.0,0.0,3.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-10,NYR@BOS,12:00 PM,2026-01-10T18:00:00Z,Artemi Panarin,NYR,L,⭐ STAR,Healthy,Unknown,,,4,1.0,🟢 ROLE+,BOS,Jeremy Swayman,0.9008073817762399,2.912621359223301,46.4,Confirmed,dailyfaceoff_name_and_stats,90.3,98.3,A1+A2,1251.89,88.9,92.8,1.051,STAR,False,True,23.54476599675922,2.239128362673862,12.1,12.6,4.0,3.875,3.2,3.7199999999999998,96.1,14.0,5.0,40.0,2.0,8.0,9.0,2.299060304716723,0.6568743727762065,,,0.0,2.663186865331688,2.476985859352757,50.0,74.2,71.7,74.2,10.59,2.95,37.2,-3.41,-2.05,-2.8,COOL,COOL,COOL,7.64,-1.36,COOL,Green,Green,Green,Green,74,98,78,74,SOG,98,0.0,0.0,2.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-10,SEA@CAR,6:00 PM,2026-01-11T00:00:00Z,Seth Jarvis,CAR,C,⭐ STAR,Healthy,Unknown,,,3,1.0,🟢 ROLE+,SEA,Joey Daccord,0.9012517385257302,2.8216903647443257,43.3,Unconfirmed,dailyfaceoff_name_and_stats,96.4,69.0,A1+A2,1140.69,78.6,83.3,1.04,STAR,False,True,30.121501956387434,2.953115346772533,94.9,94.9,3.5,3.625,3.8,3.6049999999999995,95.0,8.0,4.0,35.0,2.0,3.0,4.0,2.274961381828395,0.3791602303047325,,,0.0,2.5118510158013545,2.5677200902934536,50.0,70.5,71.5,70.5,7.91,4.73,36.05,-0.09,0.73,1.05,COOL,COOL,COOL,3.18,-0.82,COOL,Red,Green,Yellow,Red,57,98,81,67,SOG,98,1.0,1.0,1.0,0.0,,,,🎯 D:0,,False,False,2,
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Artturi Lehkonen,COL,L,⭐ STAR,Healthy,Unknown,,,5,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8772727272727273,4.035204251079375,100.0,Confirmed,dailyfaceoff_name_and_stats,98.8,88.8,A1+A2,1159.84,80.6,91.7,1.05,STAR,False,True,33.03253858511905,3.1139210154020764,98.4,98.4,2.0,2.5,2.4,2.14,58.0,6.0,2.0,24.0,1.0,2.0,4.0,2.4529587504586194,0.9434456732533152,,,0.0,2.5956452322002916,2.5545502927088877,50.0,76.3,73.1,76.3,9.39,4.75,21.4,3.39,2.75,-2.6,HOT,HOT,COOL,4.64,0.64,COOL,Yellow,Red,Red,Yellow,84,97,86,83,SOG,97,2.0,3.0,2.0,0.0,,,,🅿️ PTS D:2 | 🎯 D:0,,False,False,3,
