Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Timo Meier,NJD,R,⭐ STAR,Healthy,Unknown,,,2,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,97.2,74.6,A1+A2,1116.0,75.1,84.9,1.063,STAR,False,True,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,4.0,4.625,4.6,4.21,99.0,2.0,1.0,46.0,1.0,1.0,1.0,1.4183598806776607,0.4052456801936174,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,59.6,76.3,8.24,4.7,42.1,6.24,3.7,-3.9,HOT,HOT,COOL,3.54,2.54,HOT,FAIL_GF,Green,FAIL_GF,FAIL_GF,0,96,0,0,SOG,96,3.0,4.0,3.0,0.0,,,,🅿️ PTS D:3 | 🎯 D:0,,False,False,0,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,Jack Eichel,VGK,C,⭐ STAR,Healthy,Unknown,,,5,1.0,🟢 ROLE+,SJS,Yaroslav Askarov,0.8935128518971848,3.4394526745807754,71.3,Unconfirmed,dailyfaceoff_name_and_stats,87.7,98.1,A1+A2,1283.11,92.2,92.2,1.076,STAR,False,True,25.973127097094537,2.395540241645476,24.3,45.5,18,3.6,True,3.0,2.75,3.0,3.0,87.9,14.0,3.0,27.0,2.0,3.0,11.0,2.3736737996763173,0.8631541089732062,,,0.0,2.689737526048374,2.7254208714790793,50.0,82.8,71.3,82.8,13.08,3.51,30.0,-0.92,0.51,3.0,COOL,COOL,HOT,9.56,-1.44,COOL,Green,Yellow,Red,Green,78,95,81,79,SOG,95,0.0,1.0,0.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Nico Hischier,NJD,C,⭐ STAR,Healthy,Unknown,,,2,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,95.9,89.9,A1+A2,1251.77,90.0,92.6,1.077,STAR,False,True,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,3.0,3.625,4.0,3.35,93.2,6.0,2.0,37.0,2.0,0.0,4.0,1.4382022471910112,0.6292134831460674,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,60.3,76.3,8.87,3.97,33.5,2.87,1.97,-3.5,HOT,WARM,COOL,4.9,0.9,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,95,0,0,SOG,95,3.0,6.0,3.0,0.0,,,,🅿️ PTS D:3 | 🎯 D:0,,False,False,1,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,Macklin Celebrini,SJS,C,👑 ELITE,Healthy,Unknown,,,6,1.0,🟢 ROLE+,VGK,Carl Lindbom,0.8698224852071006,3.137503466307491,81.4,Unconfirmed,dailyfaceoff_name_and_stats,97.5,99.9,A1+A2,1260.23,91.1,97.1,1.085,ELITE,True,False,22.786766255356014,2.257322812521951,5.2,14.9,21,4.2,True,4.5,4.5,5.0,4.675000000000001,100.0,19.0,6.0,45.0,3.0,7.0,13.0,2.980555424137768,1.3625396224629795,,,0.0,2.1219963587667956,2.0854335625404374,50.0,17.8,74.6,17.8,15.73,4.38,46.75,-3.27,-1.62,1.75,COOL,COOL,WARM,11.34,-1.66,COOL,Green,Green,Green,Green,73,94,85,70,SOG,94,0.0,0.0,1.0,0.0,,,,🎯 D:0,,False,False,3,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,David Pastrnak,BOS,R,👑 ELITE,Healthy,Unknown,,,4,1.0,🟢 ROLE+,PIT,Stuart Skinner,0.8915492957746479,2.768401078597823,55.1,Unconfirmed,dailyfaceoff_name_and_stats,97.0,99.0,A1+A2,1197.53,83.8,95.1,1.081,ELITE,True,False,26.364162518810048,2.3561060307906008,42.6,35.9,27,5.4,True,3.5,3.375,4.2,3.745,95.1,17.0,6.0,35.0,4.0,10.0,11.0,2.769154693552375,1.5823741106013571,,,0.0,2.5171236834603326,2.4963210083904124,50.0,49.8,74.3,49.8,14.34,4.62,37.45,-2.66,-1.38,2.45,COOL,COOL,WARM,9.73,-1.27,COOL,Green,Green,Green,Green,73,94,92,75,SOG,94,0.0,0.0,2.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-11,WSH@NSH,6:00 PM,2026-01-12T00:00:00Z,Alex Ovechkin,WSH,L,⭐ STAR,Healthy,Unknown,,,1,0.0,,NSH,Justus Annunen,0.875,3.288581314878893,85.6,Unconfirmed,dailyfaceoff_name_and_stats,97.9,88.1,A1+A2,1066.78,71.4,89.2,1.07,STAR,False,True,27.749159629108792,2.6308910563480903,85.1,75.5,18,3.6,True,3.5,3.125,3.2,3.3949999999999996,94.2,7.0,5.0,31.0,4.0,0.0,2.0,2.4842577417407057,1.0351073923919607,,,0.0,2.4739529973018417,2.477613107574395,50.0,37.5,73.3,37.5,8.8,4.29,33.95,1.8,-0.71,2.95,WARM,COOL,HOT,4.52,2.52,HOT,Yellow,Green,Green,Yellow,72,93,88,83,SOG,93,0.0,5.0,0.0,0.0,,,,🎯 D:0,,False,False,3,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,William Eklund,SJS,L,⭐ STAR,Healthy,Unknown,,,6,1.0,🟢 ROLE+,VGK,Carl Lindbom,0.8698224852071006,3.137503466307491,81.4,Unconfirmed,dailyfaceoff_name_and_stats,94.4,86.2,A1+A2,1197.53,83.8,89.4,1.071,STAR,False,True,22.786766255356014,2.257322812521951,5.2,14.9,21,4.2,True,4.5,3.75,2.8,3.9050000000000002,97.1,7.0,3.0,38.0,1.0,3.0,4.0,1.3746829228377384,0.2945749120366582,,,0.0,2.1219963587667956,2.0854335625404374,50.0,17.8,58.6,17.8,8.92,4.1,39.05,1.92,1.1,1.05,WARM,COOL,COOL,4.82,0.82,COOL,Yellow,Green,Green,Yellow,70,92,76,64,SOG,92,0.0,0.0,1.0,1.0,,,,🎯 D:1,,False,False,0,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Sidney Crosby,PIT,C,⭐ STAR,Healthy,Unknown,,,3,1.0,🟢 ROLE+,BOS,Joonas Korpisalo,0.8878923766816144,3.418154196733764,78.4,Unconfirmed,dailyfaceoff_name_and_stats,92.8,95.1,A1+A2,1181.23,81.4,91.3,1.074,STAR,False,True,26.766108589963864,2.5329337165134715,53.9,64.7,18,3.6,True,2.5,2.375,2.4,2.465,79.1,14.0,5.0,24.0,3.0,6.0,9.0,2.241761526390515,0.5380227663337236,,,0.0,2.6619747655978703,2.444727399004514,50.0,60.7,70.9,60.7,9.77,3.52,24.65,-4.23,-1.48,0.65,COOL,COOL,COOL,6.24,-2.76,COOL,Green,Red,Red,Green,73,92,86,76,SOG,92,1.0,1.0,2.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL"
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Rickard Rakell,PIT,R,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,BOS,Joonas Korpisalo,0.8878923766816144,3.418154196733764,78.4,Unconfirmed,dailyfaceoff_name_and_stats,80.4,68.5,A1+A2,1150.3,79.6,76.1,1.047,NONE,False,False,26.766108589963864,2.5329337165134715,53.9,64.7,18,3.6,True,4.0,3.5,4.2,4.07,98.1,7.0,3.0,35.0,2.0,2.0,4.0,1.6208914903196758,0.9004952723998199,,,0.0,2.6619747655978703,2.444727399004514,50.0,60.7,63.5,60.7,9.24,4.23,40.7,2.24,1.23,5.7,WARM,COOL,HOT,5.01,1.01,COOL,Red,Yellow,Red,Red,67,91,74,65,SOG,91,1.0,1.0,2.0,1.0,,,,🎯 D:1,,False,False,2,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,Mark Stone,VGK,R,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,SJS,Yaroslav Askarov,0.8935128518971848,3.4394526745807754,71.3,Unconfirmed,dailyfaceoff_name_and_stats,88.3,92.8,A1+A2,1162.81,80.7,88.4,1.069,NONE,False,False,25.973127097094537,2.395540241645476,24.3,45.5,18,3.6,True,2.0,1.875,2.0,2.0,57.8,11.0,8.0,18.0,5.0,2.0,3.0,2.4161073825503356,0.8053691275167785,,,0.0,2.689737526048374,2.7254208714790793,50.0,82.8,72.2,82.8,13.84,4.73,20.0,2.84,-3.27,2.0,HOT,COOL,WARM,9.11,6.11,HOT,Green,Red,Red,Green,84,86,91,85,GOAL,91,0.0,1.0,0.0,1.0,,,,🥅 D:0,🔥 | 🅰️ ASSISTS EARNED,True,True,3,"iXA,v2,VOL"
2026-01-11,WSH@NSH,6:00 PM,2026-01-12T00:00:00Z,Tom Wilson,WSH,R,⭐ STAR,GTD,Unknown,,,1,-1.0,🟡 GTD,NSH,Justus Annunen,0.875,3.288581314878893,85.6,Unconfirmed,dailyfaceoff_name_and_stats,97.4,89.9,A1+A2,1162.68,80.3,91.4,1.074,STAR,False,True,27.749159629108792,2.6308910563480903,85.1,75.5,18,3.6,True,3.5,2.875,2.6,3.1849999999999996,90.8,10.0,5.0,29.0,5.0,3.0,5.0,2.622154779969651,0.5462822458270106,,,0.0,2.4739529973018417,2.477613107574395,50.0,37.5,73.7,37.5,9.79,4.55,31.85,-0.21,-0.45,2.85,COOL,COOL,HOT,5.24,0.24,COOL,Yellow,Green,Green,Yellow,65,90,90,69,SOG,90,1.0,1.0,1.0,1.0,,,,🎯 D:1,,False,False,3,
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Jack Hughes,NJD,C,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,81.8,77.6,A1+A2,1269.46,91.4,82.3,1.058,NONE,False,False,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,3.0,2.875,3.8,3.2800000000000002,92.2,7.0,1.0,30.0,0.0,4.0,6.0,1.9679812573213589,0.4217102694260055,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,67.9,76.3,9.59,3.89,32.8,2.59,2.89,2.8,HOT,HOT,HOT,5.7,-0.3,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,88,0,0,SOG,88,0.0,0.0,8.0,0.0,,,,🎯 D:0,,False,False,1,
