Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Best_Drought_Market,Best_Drought,Best_Drought_Tag,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought_Display,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Nico Hischier,NJD,C,⭐ STAR,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,96.5,91.4,A1+A2,1252.76,89.0,93.2,1.078,STAR,False,True,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.125,3.8,3.2800000000000002,99.8,7.0,3.0,33.0,1.0,2.0,4.0,1.6226988043271968,0.7686468020497248,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,65.4,74.9,9.17,4.02,32.8,2.17,1.02,-0.2,WARM,COOL,COOL,5.16,1.16,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,99,0,0,SOG,99,,,,,,,,,🎯 SOG EARNED,False,False,2,,True,4,"SI,VOL"
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Timo Meier,NJD,R,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,97.2,73.7,A1+A2,1114.27,73.7,84.3,1.062,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.75,3.6,3.21,98.6,2.0,1.0,39.0,0.0,0.0,1.0,1.349505984416419,0.38557313840469115,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,59.4,74.9,7.96,4.6,32.1,5.96,3.6,-6.9,HOT,HOT,COOL,3.37,2.37,WARM,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,97,0,0,SOG,97,,,,,,,,,🎯 SOG EARNED,False,False,0,,True,4,"SI,VOL"
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jordan Eberle,SEA,R,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,95.9,73.7,A1+A2,1141.0,78.9,84.7,1.063,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,2.0,2.125,1.4,1.79,79.4,9.0,6.0,21.0,2.0,2.0,3.0,1.2243936896632917,0.2825523899222981,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,57.1,85.5,7.55,4.26,17.9,-1.45,-1.74,-3.1,COOL,COOL,COOL,3.29,0.29,COOL,Yellow,Red,Red,Yellow,64,93,87,61,SOG,93,,,,,,,,,,False,False,0,,False,2,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Matty Beniers,SEA,C,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,87.4,88.8,A1+A2,1187.02,81.8,86.7,1.066,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,2.5,2.25,2.6,2.535,93.3,10.0,5.0,22.0,3.0,3.0,5.0,1.5035377358490567,0.5306603773584906,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,62.6,85.5,7.76,2.92,25.35,-2.24,-2.08,3.35,COOL,COOL,HOT,4.85,-0.15,COOL,Yellow,Red,Red,Yellow,73,93,86,69,SOG,93,,,,,,,,,,False,False,1,,False,2,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Tage Thompson,BUF,C,⭐ STAR,GOAL,0,,Healthy,Unknown,,,7,1.0,🟢 ROLE+,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,97.9,88.8,A1+A2,1135.77,77.5,90.6,1.073,STAR,False,True,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,3.0,3.0,3.0,3.0,97.1,11.0,4.0,31.0,2.0,3.0,7.0,2.4098867147270853,0.741503604531411,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,73.3,48.3,9.45,4.57,30.0,-1.55,0.57,-1.0,COOL,COOL,COOL,4.88,-2.12,COOL,Yellow,Yellow,Yellow,Yellow,64,93,77,75,SOG,93,,,,,,,,,🎯 SOG EARNED,False,False,3,,True,3,SI
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jesper Bratt,NJD,L,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,88.7,94.3,A1+A2,1138.3,78.0,88.5,1.069,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.0,2.6,2.8600000000000003,95.9,7.0,5.0,31.0,2.0,1.0,2.0,1.6528504017344727,0.7346001785486546,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,66.4,74.9,8.69,2.88,28.6,1.69,-2.12,-2.4,WARM,COOL,COOL,5.81,3.81,HOT,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,93,0,0,SOG,93,,,,,,,,,🎯 SOG EARNED,False,False,3,,True,3,SI
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jack Hughes,NJD,C,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,83.2,84.2,A1+A2,1277.64,91.9,85.3,1.063,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.125,3.6,3.21,98.6,7.0,0.0,32.0,0.0,4.0,7.0,2.1822071670529506,0.513460509894812,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,71.2,74.9,10.36,3.91,32.1,3.36,3.91,0.1,HOT,HOT,COOL,6.45,-0.55,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,92,0,0,SOG,92,,,,,,,,,🎯 SOG EARNED,False,False,2,,True,4,"SI,VOL"
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Dawson Mercer,NJD,C,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,89.7,82.3,A1+A2,1114.15,73.2,83.8,1.061,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,2.0,2.125,2.0,2.0,84.9,5.0,2.0,22.0,2.0,1.0,3.0,1.5414840562188303,0.6347287290312831,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,63.5,74.9,6.65,2.96,20.0,1.65,0.96,-2.0,WARM,COOL,COOL,3.69,0.69,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,89,0,0,SOG,89,,,,,,,,,,False,False,1,,False,2,
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Tim Sttzle,OTT,C,⭐ STAR,GOAL,0,,Healthy,Unknown,,,1,0.0,,NYR,Jonathan Quick,0.8983516483516484,2.8011440107671604,46.7,Confirmed,dailyfaceoff_name_and_stats,94.8,96.3,A1+A2,1246.24,87.6,93.9,1.079,STAR,False,True,26.925829312772688,2.470971167386135,66.3,80.6,10,2.0,False,2.0,2.0,2.0,2.0,84.9,8.0,2.0,22.0,0.0,3.0,6.0,2.3635695152056306,0.850885025474027,,,0.0,2.3718639501599594,2.2225963966997813,50.0,58.6,73.1,58.6,10.35,3.87,20.0,2.35,1.87,-2.0,WARM,WARM,COOL,6.47,0.47,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,88,0,0,SOG,88,,,,,,,,,,False,False,4,,False,2,
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Dylan Cozens,OTT,C,,GOAL,0,,Healthy,Unknown,,,1,0.0,,NYR,Jonathan Quick,0.8983516483516484,2.8011440107671604,46.7,Confirmed,dailyfaceoff_name_and_stats,92.8,86.8,A1+A2,1053.33,67.0,85.5,1.064,NONE,False,False,26.925829312772688,2.470971167386135,66.3,80.6,10,2.0,False,2.5,2.375,2.4,2.465,92.1,4.0,1.0,23.0,1.0,0.0,3.0,1.1980033277870217,0.39933444259567386,,,0.0,2.3718639501599594,2.2225963966997813,50.0,58.6,56.1,58.6,7.9,3.4,24.65,3.9,2.4,1.65,HOT,WARM,WARM,4.49,1.49,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,88,0,0,SOG,88,,,,,,,,,,False,False,1,,False,2,
